date,symbol,Short Percentage Of Float
01/12/04,CSWC,0.02
01/12/04,CSX,1.61
01/12/04,CTAS,4.27
01/12/04,CTB,1.76
01/12/04,CTBI,0.19
01/12/04,CTG,0.01
01/12/04,CTHR,1.19
01/12/04,CTIB,0.01
01/12/04,CTIC,5.32
01/12/04,CTL,1.82
01/12/04,CTO,0.38
01/12/04,CTS,2.16
01/12/04,CTSH,4.31
01/12/04,CTWS,0.19
01/12/04,CTXS,3.85
01/12/04,CUB,4.22
01/12/04,CUO,0.35
01/12/04,CUZ,0.86
01/12/04,CVA,0.07
01/12/04,CVBF,1.18
01/12/04,CVC,8.12
01/12/04,CVCO,2.92
01/12/04,CVD,3.15
01/12/04,CVG,2.13
01/12/04,CVGW,0.1
01/12/04,CVLY,0.09
01/12/04,CVM,1.16
01/12/04,CVO,0.82
01/12/04,CVS,1.54
01/12/04,CVTI,0.37
01/12/04,CVU,0.06
01/12/04,CVX,0.95
01/12/04,CW,3.23
01/12/04,CWBC,0.02
01/12/04,CWCO,0.17
01/12/04,CWEI,0.81
01/12/04,CWST,1.03
01/12/04,CWT,1.96
01/12/04,CXW,0.43
01/12/04,CY,13.87
01/12/04,CYAN,0.09
01/12/04,CYBE,0.31
01/12/04,CYH,1.23
01/12/04,CYN,1.53
01/12/04,CYT,0.95
01/12/04,CYTR,2.44
01/12/04,D,1.58
01/12/04,DAIO,0.02
01/12/04,DAKT,3.48
01/12/04,DAR,0.32
01/12/04,DAVE,0.21
01/12/04,DBD,1.09
01/12/04,DCI,1.68
01/12/04,DCO,0.48
01/12/04,DCOM,1.5
01/12/04,DCTH,4.48
01/12/04,DD,0.94
01/12/04,DDD,0.56
01/12/04,DDE,0.15
01/12/04,DDR,1.14
01/12/04,DDS,6.07
01/12/04,DE,0.92
01/12/04,DECK,5.36
01/12/04,DEL,0.83
01/12/04,DEPO,2.82
01/12/04,DEST,1.39
01/12/04,DF,1.47
01/12/04,DFBG,2.47
01/12/04,DGAS,0.37
01/12/04,DGICA,0.24
01/12/04,DGII,0.96
01/12/04,DGSE,0.02
01/12/04,DGX,5.8
01/12/04,DHI,3.67
01/12/04,DHIL,0.07
01/12/04,DHR,3.64
01/12/04,DIN,3.89
01/12/04,DIOD,0.41
01/12/04,DIS,2.38
01/12/04,DISH,1.96
01/12/04,DIT,0.09
01/12/04,DJCO,0.01
